Year,GMSL
2010.432877,4.332069
2010.452055,4.382093
2010.471233,4.411304
2010.490411,4.436678
2010.509589,4.441754
2010.528767,4.468991
2010.547945,4.504325
2010.567123,4.538268
2010.586301,4.567194
2010.60548,4.602902
2010.624658,4.638663
2010.643836,4.681883
2010.663014,4.734444
2010.682192,4.802387
2010.70137,4.864725
2010.720548,4.932978
2010.739726,5.014007
2010.758904,5.086534
2010.778082,5.141947
2010.79726,5.178329
2010.816438,5.198062
2010.835616,5.187189
2010.854795,5.168388
2010.873973,5.12879
2010.893151,5.076825
2010.912329,5.008724
2010.931507,4.939259
2010.950685,4.857893
2010.969863,4.787505
2010.989041,4.723582
2011.008219,4.663641
2011.027397,4.588877
2011.046575,4.513025
2011.065753,4.428543
2011.084932,4.339285
2011.10411,4.262657
2011.123288,4.195749
2011.142466,4.1075
2011.161644,4.015817
2011.180822,3.950234
2011.2,3.911812
2011.219178,3.870673
2011.238356,3.830494
2011.257534,3.775751
2011.276712,3.72529
2011.29589,3.692155
2011.315069,3.697841
2011.334247,3.708442
2011.353425,3.724107
2011.372603,3.740331
2011.391781,3.775552
2011.410959,3.828087
2011.430137,3.892571
2011.449315,3.942032
2011.468493,3.986043
2011.487671,4.03184
2011.506849,4.10196
2011.526027,4.181417
2011.545206,4.268544
2011.564384,4.360157
2011.583562,4.453438
2011.60274,4.555051
2011.621918,4.663094
2011.641096,4.777252
2011.660274,4.891788
2011.679452,5.006045
2011.69863,5.117149
2011.717808,5.213407
2011.736986,5.288407
2011.756164,5.337169
2011.775343,5.360944
2011.794521,5.379506
2011.813699,5.392393
2011.832877,5.394686
2011.852055,5.379857
2011.871233,5.350236
2011.890411,5.317373
2011.909589,5.283147
2011.928767,5.269762
2011.947945,5.268398
2011.967123,5.265174
2011.986301,5.274651
2012.005465,5.270445
2012.02459,5.252238
2012.043716,5.229475
2012.062842,5.203791
2012.081967,5.167431
2012.101093,5.110282
2012.120219,5.064159
2012.139344,5.028729
2012.15847,4.97616
2012.177596,4.936513
2012.196721,4.895976
2012.215847,4.847121
2012.234973,4.8116
2012.254098,4.790513
2012.273224,4.78325
2012.29235,4.782167
2012.311475,4.764941
2012.330601,4.760215
2012.349727,4.767541
2012.368853,4.795063
2012.387978,4.837118
2012.407104,4.870412
2012.42623,4.906976
2012.445355,4.966853
2012.464481,5.034881
2012.483607,5.135801
2012.502732,5.228879
2012.521858,5.306147
2012.540984,5.37595
2012.560109,5.440871
2012.579235,5.507538
2012.598361,5.588394
2012.617486,5.665152
2012.636612,5.743342
2012.655738,5.829874
2012.674863,5.933426
2012.693989,6.039507
2012.713115,6.147202
2012.73224,6.249042
2012.751366,6.340776
2012.770492,6.414526
2012.789618,6.468558
2012.808743,6.491465
2012.827869,6.495243
2012.846995,6.487596
2012.86612,6.459227
2012.885246,6.409101
2012.904372,6.372054
2012.923497,6.355893
2012.942623,6.316766
2012.961749,6.256702
2012.980874,6.201579
2013,6.098021
2013.019178,6.03744
2013.038356,5.984772
2013.057534,5.904473
2013.076712,5.876176
2013.09589,5.822335
2013.115069,5.778076
2013.134247,5.747011
2013.153425,5.699547
2013.172603,5.65884
2013.191781,5.608161
2013.210959,5.554933
2013.230137,5.51526
2013.268493,5.426436
2013.287671,5.387008
2013.306849,5.333408
2013.326027,5.280995
2013.345206,5.258743
2013.364384,5.214207
2013.383562,5.190272
2013.40274,5.183936
2013.421918,5.181597
2013.441096,5.182676
2013.460274,5.188166
2013.479452,5.210294
2013.49863,5.248579
2013.517808,5.295509
2013.536986,5.348806
2013.556164,5.397194
2013.575343,5.456543
2013.594521,5.518842
2013.613699,5.546875
2013.632877,5.66156
2013.652055,5.759893
2013.671233,5.850038
2013.709589,6.04969
2013.728767,6.165995
2013.747945,6.268398
2013.767123,6.346712
2013.786301,6.355961
2013.80548,6.369152
2013.824658,6.39211
2013.843836,6.393674
2013.863014,6.363063
2013.882192,6.321015
2013.90137,6.269997
2013.920548,6.223073
2013.939726,6.169476
2013.958904,6.109572
2013.978082,6.043983
2013.99726,5.975623
2014.016438,5.899083
2014.035616,5.868553
2014.054795,5.852463
2014.073973,5.82228
2014.093151,5.78801
2014.112329,5.751955
2014.131507,5.710823
2014.150685,5.676065
2014.169863,5.641863
2014.189041,5.62101
2014.208219,5.573506
2014.227397,5.505431
2014.246575,5.445057
2014.265753,5.368402
2014.284932,5.29858
2014.30411,5.246185
2014.323288,5.208826
2014.342466,5.1779
2014.361644,5.168987
2014.380822,5.17796
2014.4,5.205731
2014.419178,5.251646
2014.438356,5.326522
2014.457534,5.391796
2014.476712,5.474211
2014.49589,5.558236
2014.515069,5.638626
2014.534247,5.729794
2014.553425,5.826551
2014.572603,5.934203
2014.591781,6.025693
2014.610959,6.104022
2014.630137,6.196449
2014.649315,6.283926
2014.668493,6.370899
2014.687671,6.469317
2014.706849,6.560767
2014.726027,6.637399
2014.745206,6.683305
2014.764384,6.723916
2014.783562,6.750932
2014.80274,6.765831
2014.821918,6.751814
2014.841096,6.739314
2014.860274,6.741742
2014.879452,6.749437
2014.89863,6.734134
2014.917808,6.70152
2014.936986,6.666955
2014.956164,6.636871
2014.975343,6.62136
2014.994521,6.626052
2015.013699,6.621799
2015.032877,6.59061
2015.052055,6.532965
2015.071233,6.497764
2015.090411,6.489643
2015.109589,6.474582
2015.128767,6.438773
2015.147945,6.403168
2015.167123,6.36456
2015.186301,6.324876
2015.20548,6.281078
2015.224658,6.239942
2015.243836,6.199442
2015.263014,6.160557
2015.282192,6.118333
2015.30137,6.088495
2015.320548,6.069077
2015.339726,6.063871
2015.358904,6.058781
2015.378082,6.071956
2015.39726,6.099584
2015.416438,6.130696
2015.435616,6.175942
2015.454795,6.248909
2015.473973,6.34215
2015.493151,6.43928
2015.512329,6.527286
2015.531507,6.62464
2015.550685,6.713558
2015.569863,6.81826
2015.589041,6.942109
2015.608219,7.058658
2015.627397,7.175053
2015.646575,7.275294
2015.665753,7.369887
2015.684932,7.467463
2015.70411,7.569333
2015.723288,7.685629
2015.742466,7.773609
2015.761644,7.823356
2015.780822,7.842487
2015.8,7.831812
2015.819178,7.82517
2015.838356,7.830384
2015.857534,7.814295
2015.876712,7.775564
2015.89589,7.702268
2015.915069,7.595911
2015.934247,7.49361
2015.953425,7.429039
2015.972603,7.411366
2015.991781,7.390282
2016.010929,7.346273
2016.030055,7.310416
2016.04918,7.275913
2016.068306,7.241298
2016.087432,7.241245
2016.106557,7.240101
2016.125683,7.214097
2016.144809,7.156664
2016.163934,7.096355
2016.18306,7.024441
2016.202186,6.935558
2016.221312,6.861594
2016.240437,6.794982
2016.259563,6.716694
2016.278689,6.646755
2016.297814,6.586561
2016.31694,6.531851
2016.336066,6.483051
2016.355191,6.465307
2016.374317,6.478539
2016.393443,6.489862
2016.412568,6.516076
2016.431694,6.552178
2016.45082,6.588182
2016.469945,6.623752
2016.489071,6.655472
2016.508197,6.689439
2016.527322,6.711985
2016.546448,6.734431
2016.565574,6.762638
2016.5847,6.812496
2016.603825,6.888224
2016.622951,6.974505
2016.642077,7.066962
2016.661202,7.162643
2016.680328,7.249862
2016.699454,7.346779
2016.718579,7.453918
2016.737705,7.558658
2016.756831,7.633991
2016.775956,7.679497
2016.795082,7.733421
2016.814208,7.792222
2016.833333,7.831614
2016.852459,7.85935
